Algoritmo,TME,PD,precision,recall,fmeasure,time
NaiveBayes,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,1902
NaiveBayes,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,1922
NaiveBayes,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,1864
NaiveBayes,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,2738
RandomTree,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,2069
RandomTree,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,1914
RandomTree,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,2146
RandomTree,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,2053
RandomTree,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,2231
RandomTree,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,2060
RandomTree,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,2252
RandomTree,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,1923
RandomTree,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,2511
RandomTree,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,2455
RandomTree,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,1900
RandomTree,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,1877
RandomTree,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,2127
RandomTree,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,2406
RandomTree,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,2385
J48,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,2342
J48,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,2530
J48,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,2358
J48,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,2289
J48,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,2210
J48,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,2259
J48,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,2522
J48,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,2786
J48,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,2576
J48,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,2386
J48,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,2700
J48,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,2446
J48,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,2207
J48,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,2276
J48,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,2287
